,questions,answers,question_codes,answer_codes
0,1. How is the statistical significance of an insight assessed?,"Hypothesis testing is used to find out the statistical significance of the insight. To elaborate, the null hypothesis and the alternate hypothesis are stated, and the p-value is calculated.After calculating the p-value, the null hypothesis is assumed true, and the values are determined. To fine-tune the result, the alpha value, which denotes the significance, is tweaked. If the p-value turns out to be less than the alpha, then the null hypothesis is rejected. This ensures that the result obtained is statistically significant.",A1,A1
1,2. Where are long-tailed distributions used?,"A long-tailed distribution is a type of distribution where the tail drops off gradually toward the end of the curve.The Pareto principle and the product sales distribution are good examples to denote the use of long-tailed distributions. Also, it is widely used in classification and regression problems.",A2,A2
2,3. What is the central limit theorem?,The central limit theorem states that the normal distribution is arrived at when the sample size varies without having an effect on the shape of the population distribution.This central limit theorem is the key because it is widely used in performing hypothesis testing and also to calculate the confidence intervals accurately.,A3,A3
3,4. What is observational and experimental data in Statistics?,"Observational data correlates to the data that is obtained from observational studies, where variables are observed to see if there is any correlation between them.Experimental data is derived from experimental studies, where certain variables are held constant to see if any discrepancy is raised in the working.Check out our blog on Statistics for Data Science!",A4,A4
4,5. What is meant by mean imputation for missing data? Why is it bad?,"Mean imputation is a rarely used practice where null values in a dataset are replaced directly with the corresponding mean of the data.It is considered a bad practice as it completely removes the accountability for feature correlation. This also means that the data will have low variance and increased bias, adding to the dip in the accuracy of the model, alongside narrower confidence intervals.",A5,A5
5,6. What is an outlier? How can outliers be determined in a dataset?,"Outliers are data points that vary in a large way when compared to other observations in the dataset. Depending on the learning process, an outlier can worsen the accuracy of a model and decrease its efficiency sharply.Outliers are determined by using two methods:Standard deviation/z-scoreInterquartile range (IQR)",A6,A6
6,7. How is missing data handled in statistics?,"There are many ways to handle missing data in Statistics:Prediction of the missing valuesAssignment of individual (unique) valuesDeletion of rows, which have the missing dataMean imputation or median imputationUsing random forests, which support the missing values",A7,A7
7,8. What is exploratory data analysis?,"Exploratory data analysis is the process of performing investigations on data to understand the data better.In this, initial investigations are done to determine patterns, spot abnormalities, test hypotheses, and also check if the assumptions are right.",A8,A8
8,9. What is the meaning of selection bias?,"Selection bias is a phenomenon that involves the selection of individual or grouped data in a way that is not considered to be random. Randomization plays a key role in performing analysis and understanding model functionality better.If correct randomization is not achieved, then the resulting sample will not accurately represent the population.",A9,A9
9,10. What are the types of selection bias in statistics?,There are many types of selection bias as shown below:Observer selectionAttritionProtopathic biasTime intervalsSampling bias,A10,A10
10,11. What is the meaning of an inlier?,"An inlier is a data point that lies at the same level as the rest of the dataset. Finding an inlier in the dataset is difficult when compared to an outlier as it requires external data to do so. Inliers, similar to outliers reduce model accuracy. Hence, even they are removed when they’re found in the data. This is done mainly to maintain model accuracy at all times.",A11,A11
11,12. What is the probability of throwing two fair dice when the sum is 5 and 8?,"There are 4 ways of rolling a 5 (1+4, 4+1, 2+3, 3+2):P(Getting a 5) = 4/36 = 1/9Now, there are 7 ways of rolling an 8 (1+7, 7+1, 2+6, 6+2, 3+5, 5+3, 4+4)P(Getting an 8) = 7/36 = 0.194",A12,A12
12,13. State the case where the median is a better measure when compared to the mean.,"In the case where there are a lot of outliers that can positively or negatively skew data, the median is preferred as it provides an accurate measure in this case of determination.",A13,A13
13,14. Can you give an example of root cause analysis?,"Root cause analysis, as the name suggests, is a method used to solve problems by first identifying the root cause of the problem.Example: If the higher crime rate in a city is directly associated with the higher sales in a red-colored shirt, it means that they are having a positive correlation. However, this does not mean that one causes the other.Causation can always be tested using A/B testing or hypothesis testing.",A14,A14
14,15. What is the meaning of six sigma in statistics?,Six sigma is a quality assurance methodology used widely in statistics to provide ways to improve processes and functionality when working with data.A process is considered as six sigma when 99.99966% of the outcomes of the model are considered to be defect-free.,A15,A15
15,16. What is DOE?,DOE is an acronym for the Design of Experiments in statistics. It is considered as the design of a task that describes the information and the change of the same based on the changes to the independent input variables.,A16,A16
16,17. What is the meaning of KPI in statistics?,KPI stands for Key Performance Analysis in statistics. It is used as a reliable metric to measure the success of a company with respect to its achieving the required business objectives.There are many good examples of KPIs:Profit margin percentageOperating profit marginExpense ratio,A17,A17
17,18. What type of data does not have a log-normal distribution or a Gaussian distribution?,"Exponential distributions do not have a log-normal distribution or a Gaussian distribution. In fact, any type of data that is categorical will not have these distributions as well.Example: Duration of a phone car, time until the next earthquake, etc.",A18,A18
18,19. What is the Pareto principle?,"The Pareto principle is also called the 80/20 rule, which means that 80 percent of the results are obtained from 20 percent of the causes in an experiment.A simple example of the Pareto principle is the observation that 80 percent of peas come from 20 percent of pea plants on a farm.",A19,A19
19,20. What is the meaning of the five-number summary in Statistics?,The five-number summary is a measure of five entities that cover the entire range of data as shown below:Low extreme (Min)First quartile (Q1)MedianUpper quartile (Q3)High extreme (Max),A20,A20
20,"21. What are population and sample in Inferential Statistics, and how are they different?","A population is a large volume of observations (data). The sample is a small portion of that population. Because of the large volume of data in the population, it raises the computational cost. The availability of all data points in the population is also an issue.In short:We calculate the statistics using the sample.Using these sample statistics, we make conclusions about the population.",A21,A21
21,22. What are quantitative data and qualitative data?,Quantitative data is also known as numeric data.Qualitative data is also known as categorical data.,A22,A22
22,23. What is Mean?,Mean is the average of a collection of values. We can calculate the mean by dividing the sum of all observations by the number of observations.,A23,A23
23,24. What is the meaning of standard deviation?,"Standard deviation represents the magnitude of how far the data points are from the mean. A low value of standard deviation is an indication of the data being close to the mean, and a high value indicates that the data is spread to extreme ends, far away from the mean.",A24,A24
24,25. What is a bell-curve distribution?,A normal distribution can be called a bell-curve distribution. It gets its name from the bell curve shape that we get when we visualize the distribution.,A25,A25
25,26. What is skewness?,"Skewness measures the lack of symmetry in a data distribution. It indicates that there are significant differences between the mean, the mode, and the median of data. Skewed data cannot be used to create a normal distribution.",A26,A26
26,27. What is kurtosis?,"Kurtosis is used to describe the extreme values present in one tail of distribution versus the other. It is actually the measure of outliers present in the distribution. A high value of kurtosis represents large amounts of outliers being present in data. To overcome this, we have to either add more data into the dataset or remove the outliers.",A27,A27
27,28. What is correlation?,"Correlation is used to test relationships between quantitative variables and categorical variables. Unlike covariance, correlation tells us how strong the relationship is between two variables. The value of correlation between two variables ranges from -1 to +1.The -1 value represents a high negative correlation, i.e., if the value in one variable increases, then the value in the other variable will drastically decrease. Similarly, +1 means a positive correlation, and here, an increase in one variable will lead to an increase in the other. Whereas, 0 means there is no correlation.If two variables are strongly correlated, then they may have a negative impact on the statistical model, and one of them must be dropped.Next up on this top Statistics Interview Questions and Answers blog, let us take a look at the intermediate set of questions.",A28,A28
28,29. What are left-skewed and right-skewed distributions?,"A left-skewed distribution is one where the left tail is longer than that of the right tail. Here, it is important to note that the mean < median < mode.Similarly, a right-skewed distribution is one where the right tail is longer than the left one. But, here mean > median > mode.<img class=""aligncenter size-full"" src=""https://intellipaat.com/blog/wp-content/uploads/2020/09/Certification-in-Bigdata-Analytics-IITG.jpg"" alt=""Certification in Bigdata Analytics"" />",A29,A29
29,30. What is the difference between Descriptive and Inferential Statistics?,Descriptive Statistics: Descriptive statistics is used to summarize a sample set of data like the standard deviation or the mean.Inferential statistics: Inferential statistics is used to draw conclusions from the test data that are subjected to random variations.,A30,A30
30,31. What are the types of sampling in Statistics?,There are four main types of data sampling as shown below:Simple random: Pure random divisionCluster: Population divided into clustersStratified: Data divided into unique groupsSystematical: Picks up every ‘n’ member in the data,A31,A31
31,32. What is the meaning of covariance?,Covariance is the measure of indication when two items vary together in a cycle. The systematic relation is determined between a pair of random variables to see if the change in one will affect the other variable in the pair or not.,A32,A32
32,"33. Imagine that Jeremy took part in an examination. The test is having a mean score of 160, and it has a standard deviation of 15. If Jeremy’s z-score is 1.20, what would be his score on the test?","To determine the solution to the problem, the following formula is used:X = μ + Zσ Here: μ: Mean σ: Standard deviation X: Value to be calculated Therefore, X = 160 + (15*1.2) = 173.8 (Approximated to 174)If you are looking forward to becoming an expert in Statistics and Data Analytics, make sure to check out Intellipaat’s online Data Analyst Course program.",A33,A33
