web-scraper-order,web-scraper-start-url,questions_and_answers
"1675270905-1","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","1. How is the statistical significance of an insight assessed?"
"1675270905-2","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Hypothesis testing is used to find out the statistical significance of the insight. To elaborate, the null hypothesis and the alternate hypothesis are stated, and the p-value is calculated."
"1675270905-3","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","After calculating the p-value, the null hypothesis is assumed true, and the values are determined. To fine-tune the result, the alpha value, which denotes the significance, is tweaked. If the p-value turns out to be less than the alpha, then the null hypothesis is rejected. This ensures that the result obtained is statistically significant."
"1675270905-4","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-5","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","2. Where are long-tailed distributions used?"
"1675270905-6","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-7","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","A long-tailed distribution is a type of distribution where the tail drops off gradually toward the end of the curve."
"1675270905-8","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","The Pareto principle and the product sales distribution are good examples to denote the use of long-tailed distributions. Also, it is widely used in classification and regression problems."
"1675270905-9","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-10","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","3. What is the central limit theorem?"
"1675270905-11","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-12","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","The central limit theorem states that the normal distribution is arrived at when the sample size varies without having an effect on the shape of the population distribution."
"1675270905-13","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","This central limit theorem is the key because it is widely used in performing hypothesis testing and also to calculate the confidence intervals accurately."
"1675270905-14","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-15","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","4. What is observational and experimental data in Statistics?"
"1675270905-16","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-17","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Observational data correlates to the data that is obtained from observational studies, where variables are observed to see if there is any correlation between them."
"1675270905-18","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Experimental data is derived from experimental studies, where certain variables are held constant to see if any discrepancy is raised in the working."
"1675270905-19","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Check out our blog on Statistics for Data Science!"
"1675270905-20","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-21","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","5. What is meant by mean imputation for missing data? Why is it bad?"
"1675270905-22","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-23","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Mean imputation is a rarely used practice where null values in a dataset are replaced directly with the corresponding mean of the data."
"1675270905-24","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","It is considered a bad practice as it completely removes the accountability for feature correlation. This also means that the data will have low variance and increased bias, adding to the dip in the accuracy of the model, alongside narrower confidence intervals."
"1675270905-25","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-26","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","6. What is an outlier? How can outliers be determined in a dataset?"
"1675270905-27","https://intellipaat.com/blog/interview-question/statistics-interview-questions/",""
"1675270905-28","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Outliers are data points that vary in a large way when compared to other observations in the dataset. Depending on the learning process, an outlier can worsen the accuracy of a model and decrease its efficiency sharply."
"1675270905-29","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Outliers are determined by using two methods:"
"1675270905-30","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Standard deviation/z-score"
"1675270905-31","https://intellipaat.com/blog/interview-question/statistics-interview-questions/","Interquartile range (IQR)"
