LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(frame),(frame),(frame),(µm),(µm),(µm),(µm),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(quality),(µm),(µm),,(µm/frame),,(rad/frame)
Track_2952,0,0,11,0,0,0,0,0,10.0,0.0,10.0,0.1463984017886399,143.98331574759376,118.16107085901885,0.0,0.09119038668903391,0.14705478055490087,0.04727118213769214,0.07987276648155162,0.03601233370932912,11.032839688387783,0.9119038668903391,0.1926352376994089,0.16054148590011957,0.014639840178863989,0.16054148590011957,2.073081459482897
Track_2953,1,1,83,0,0,0,0,0,82.0,0.0,82.0,12.12779854603721,16.82341268160125,115.60384147237531,0.0,0.357920779837252,10.810450922600737,0.02731283537425701,0.15815788397423663,1.1882500957543654,13.386510458337256,29.34950394665466,12.214969885695798,0.41321988160619566,0.14789998226874645,0.41321988160619555,1.8668243034628837
Track_2954,2,2,194,0,0,0,0,0,193.0,0.0,193.0,15.861996831074482,27.211726044684863,116.85636511380852,0.0,0.20617453882271564,10.25687555918387,0.01147144862744693,0.10048076030468929,0.9826425621073577,17.12548753404126,39.791685992784124,15.861996831074482,0.3986259047669133,0.08218651207810612,0.39862590476691334,1.7859091171339958
Track_2955,3,3,241,0,0,0,0,0,240.0,0.0,240.0,4.481489716289922,134.86165552751976,111.95345235250416,0.0,0.16887316537718897,0.8214402610021034,0.007546287729464476,0.12750693485572032,0.13387335567983927,17.081965624544136,40.52955969052535,6.089199778505943,0.11057336300985195,0.018672873817874677,0.11057336300985195,1.7550798127439062
Track_2956,4,4,121,0,0,0,0,0,120.0,0.0,120.0,1.9220687911424188,164.71424256372987,116.7877012212581,0.0,0.09560046031569272,0.263771990021286,0.0060296817509146216,0.08748231560927279,0.05384578331593157,12.03510240286835,11.472055237883119,1.9220687911424188,0.16754354396720011,0.016017239926186824,0.16754354396720003,2.01273953690448
Track_2957,5,5,11,0,0,0,0,0,10.0,0.0,10.0,0.10168307977681812,174.17184545652864,114.78751430202146,0.0,0.07675352078254324,0.21232428601935252,0.018325867306049886,0.08002571467678,0.057130909909658946,11.374122619628906,0.7675352078254325,0.2635263546796016,0.1324800201216891,0.010168307977681812,0.1324800201216891,1.9899339703625973
Track_2958,6,6,529,0,0,0,0,0,528.0,0.0,528.0,4.369464375154834,205.33749942083818,121.10768485418728,0.0,0.18416688116948093,6.048581980960045,0.0,0.0,0.43560247114866063,18.80478571583508,97.24011325748602,9.84892578941248,0.044934793150484646,0.008275500710520519,0.04493479315048469,0.8648134142502694
